Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
0.9268292682926831,Male,0.5372636262513903,0.41999999999999993,0.5128205128205128,0.7551020408163267,0.41666666666666696,0.7933333333333332,0.6824324324324325,Yoga,0.10399999999999998,0.9090909090909091,4,3,0.4765458422174839
0.6829268292682928,Female,0.38820912124582874,0.06000000000000005,0.4871794871794872,0.6326530612244898,0.666666666666667,0.5333333333333334,0.39189189189189194,HIIT,0.9559999999999998,0.2727272727272728,4,2,0.5245202558635393
0.34146341463414637,Female,0.31256952169076735,0.31999999999999984,0.17948717948717974,0.04081632653061229,0.16666666666666696,0.4066666666666667,0.25270270270270273,Cardio,0.936,0.36363636363636365,4,2,0.33022388059701496
0.17073170731707316,Male,0.1468298109010011,0.3999999999999999,0.7692307692307692,0.8979591836734695,0.25,0.06,0.1547297297297297,Strength,0.7520000000000001,0.2727272727272728,3,1,0.1623134328358209
0.48780487804878053,Male,0.06785317018909898,0.5800000000000001,0.7179487179487181,0.7755102040816326,0.75,0.09333333333333332,0.17094594594594598,Strength,0.7679999999999999,0.5909090909090909,3,1,0.05517057569296374
0.9268292682926831,Female,0.20022246941045596,0.3599999999999999,0.2051282051282053,0.7346938775510203,1.0,0.7266666666666668,0.5493243243243244,HIIT,0.21999999999999997,0.5454545454545455,5,3,0.2193496801705757
0.43902439024390244,Male,0.3370411568409343,0.43999999999999995,0.3589743589743595,1.0,0.9583333333333335,0.6599999999999999,0.731081081081081,Cardio,0.45200000000000007,0.36363636363636365,3,2,0.30490405117270786
0.5365853658536586,Female,0.33036707452725245,0.020000000000000018,0.7435897435897436,0.4285714285714288,0.5833333333333335,0.5133333333333334,0.39999999999999997,Cardio,0.824,0.18181818181818177,3,2,0.48640724946695096
0.2439024390243903,Male,0.9087875417130145,0.8799999999999999,0.6410256410256414,0.14285714285714324,0.08333333333333348,0.35333333333333333,0.2810810810810811,Strength,0.7559999999999999,0.5000000000000001,4,2,0.533582089552239
0.2439024390243903,Male,0.6874304783092324,0.6800000000000002,0.23076923076923084,0.3265306122448983,0.5833333333333335,0.38666666666666666,0.3412162162162162,Cardio,0.7879999999999999,0.5454545454545455,3,1,0.47308102345415776
0.5609756097560976,Male,0.8987764182424915,0.33999999999999986,0.7179487179487181,0.5306122448979593,0.16666666666666696,0.21333333333333332,0.19594594594594594,HIIT,0.42000000000000004,0.6818181818181818,2,1,0.8259594882729211
0.853658536585366,Male,0.13014460511679637,0.3999999999999999,0.384615384615385,0.6530612244897962,0.916666666666667,0.4333333333333333,0.3797297297297298,HIIT,0.544,0.9090909090909091,3,2,0.14845415778251597
0.9512195121951221,Male,0.8064516129032258,0.2200000000000002,0.8974358974358978,0.9183673469387754,0.4583333333333335,0.49333333333333335,0.47972972972972977,Cardio,0.4840000000000001,0.5454545454545455,3,2,0.8283582089552237
